PILAR,Dimensões,,Coordenadas,,Inércia,,Módulo de Elasticidade,Centro de Torção,,,,Centro de Massa,,,Excentricidade Estrutural,
,b (m),h (m),Xi (m),Yi (m),Ix (m4),Iy (m4),E (C30/37) (Kn/m2),Ei Iy,Ei Iy Xi,Ei Ix,Ei Ix Yi,b x h,b x h x Xi,b x h x Yi,Xi^2 Ei Iyi + Yi^2 Ei Ixi,
,,,,,,,Coordenadas (m),Xct =,11.82,Yct=,26.84,(Xcm;Ycm),13.20,16.14,21.74,27.14
,,,,,,,,,,,,,,,rx,ry
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,Esbelteza (Lmax/Lmin<=4),,Raio de Giração da massa do Piso (ls),,Excentricidade Estrutural (eo) e Raio de Torção (r) - Verificações ,,,,,
,,,,,,,Dimensão XX,Dimensão YY,,,,,,,,
,,,,,,,23.14,23.14,9.45,,,,,,eox (m),"0,3 rx"
,,,,,,,‰=,1.00,,,,,,,,
,,,,,,,Estrutura Esbelta,,,,,,,,1.37,6.52
,,,,,,,,,,,,,,,rx,Raio de Giração da massa do Piso (ls)
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,21.74,9.45
,,,,,,,,,,,,,,,eoy (m),"0,3 ry"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10.70,8.14
,,,,,,,,,,,,,,,ry,Raio de Giração da massa do Piso (ls)
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,27.14,9.45
Caixa Elevador,Dimensões,,Área (m2),Coordenadas,,Inércia de cada seção,,Centro de Massa,,Inércia da Caixa de elevador,,,,,,
,b (m),h (m),,Xi (m),Yi (m),Ix (m4),Iy (m4),Xcm,Ycm,Ix (m4),Iy (m4),,,,,
E5 (4DE),1.40,0.20,0.28,12.37,17.22,0.04573,0.00093,12.68,18.02,0.18013,0.07317,,,,,
E5 (5),0.20,1.80,0.36,13.17,18.02,0.00120,0.09720,,,0.09720,0.08657,,,,,
E5 (6DE),1.40,0.20,0.28,12.37,18.82,0.04573,0.00093,,,0.18013,0.07317,,,,,
,,,,,,,,,,0.45747,0.23291,,,,,
